FSTL1	ASPM
GTF2B	NOTCH2
GSPT1	RAB2A
GUSB	ZNF473
PMPCB	BAT1
COPS3	TAS2R3
LIG1	PCNT
NID2	GNA12
LSM8	ARHGEF15
SUZ12	HSF2
PDE6B	ZBTB43
KRT18	RAB36
MRPS16	GNG4
JMJD2C	GNAL
OR2F1	FOSL1
ZNF415	CDC45L
CDK5RAP3	FEV
GGCX	IFNA21
FZD8	H1F0
ARPC4	EML4
TCEA1	HEXB
EGLN2	MAFF
TNFRSF14	HADHA
ROBO3	NDUFC1
TRIM28	PLA2G4B
FGF5	HTRA1
MZF1	PRKAB1
ZFP2	SULT1A1
PTPRN	MMRN1
HTATSF1	ETS2
TST	KCNN3
NDUFA7	TRAPPC2
SFRS4	DNAJC3
CD70	DUSP1
SRC	VAV1
NTNG1	GIF
TINP1	CRHBP
ZNF606	SENP6
SSR1	TAF1
CRMP1	MPO
NUP107	HDAC9
PDE4B	DARS
IDH3G	CCNT2
FBXL7	BRCA2
ARFGAP3	IDH3A
MAPRE2	DRD1
IL1RN	TBX2
CSNK1G1	AATK
RAC3	ZPBP
MAFB	PLA2G2E
ADIPOR1	CCR9
TFPI	EFNB3
FABP6	ADAMTS6
SMTN	HSPA1A
CYP17A1	OR3A2
SCG3	DDC
GFER	LCN2
CD209	GAD1
NRIP2	APOC1
TNNI1	RAB35
DNTTIP2	CCL23
GABRB3	COPA
PCBD1	NDUFB3
HOXD3	IFT57
GOSR2	COPS3
SP3	NUP205
DDX1	FGFBP1
LCP2	OR1A1
RNPS1	FXYD7
TAS2R8	EIF3D
NR2C1	RAB11A
SLC25A10	TSC1
TNFRSF13B	PVRL1
MKI67	ZC3H11A
PCDHB12	TFDP2
IL4R	CHRNA6
SEC11A	EGR3
CCL5	NFIB
PEX5	SERPINA1
CLSPN	PTGER3
SMG7	CDC2L2
TAS2R13	FEZ2
VASP	GRIK4
LOX	EXOC3
BAG5	WDR3
TGFBR3	RPS13
CASP9	STAU1
MED24	CHEK1
PDCD1	GRB7
MAP3K7	CARM1
SRPR	TMEM126B
BAG4	DLGAP1
ZNF32	ARSB
IL32	LMNB2
CAT	MEP1B
PRKCQ	SOX1
ATXN1	DCC
CPOX	PRAF2
LAMC2	NDUFA4
SPSB1	FOS
APH1B	SPTBN2
MADCAM1	RPL36AL
GABRG2	NFKB2
CTNND1	PIGR
LYZ	PEX14
F5	LRP4
TPM2	EXOC7
SEMA4F	SMARCD3
ELAVL1	ODZ4
ABCA2	ERC1
BNIP3L	PTX3
LCP1	ULBP1
IGBP1	UBE2C
PRKCH	ALX3
ELA2A	SPINK1
PITRM1	NCALD
STXBP1	TFEB
ADM	TBC1D4
LSM2	BCL6
GHRHR	CACYBP
VPS72	PCDHA6
CD22	ZNF410
CD47	PEX13
IMPDH1	DNAH7
PPIC	CELSR2
PRKACA	CAV2
PPP1R1A	ATP5G3
IDH1	GUCY2C
XRCC5	DHODH
TBRG4	MCCC1
RAB1A	MDFIC
INHA	TFDP1
MLL2	CNKSR1
FXYD1	TLK1
USO1	GEMIN6
RAB9A	G3BP2
CLDN1	FOXE1
ICOS	KIFC1
NFKB1	PPFIA3
FASTK	ASF1B
LDB1	CACNB1
ABCC1	RBKS
IFNA6	JPH2
PCBP2	PPP1R8
NUP205	PDIA6
ACTA1	ZNF189
NHLH1	GTF2I
GABBR2	FGF14
TDRD7	ZNF219
KCND2	SPP1
TIMM17B	VDAC2
SNX15	SH3GL3
WIPF1	NUTF2
AGXT	NR0B2
IGF2R	NEB
PIP5K1B	ACTG1
ATP8A2	PHF3
FGF21	ELF3
FCER1G	IL7R
SNTB1	PRKAA2
APEX2	RPS7
TXNL4B	CREB1
TGFB1I1	MMP9
UBE3A	CCNE1
TOP2B	ATP2C2
ITGA7	STON1
KCNIP2	TTC1
KLF13	ARR3
TSPAN4	AQP3
PFKFB4	POLE
CEACAM1	PHLDA3
SREBF1	ANGPT4
RNF11	HDAC11
IL21	BMP4
LTK	MYC
EPAS1	OR6A2
UBTF	CP
POLD3	PAPD1
PHB	MYT1L
SEMA6B	DBT
AKR1A1	TNFRSF11A
CLTB	RNF111
JDP2	UPF2
NXT2	INPP4B
MORF4L1	KLK11
HSPB7	IL17RB
POU2F1	PKLR
ELK3	ZNF211
SEC61B	PTCH1
CBLC	ITGAM
OR3A2	CARD14
P2RX7	COX4I1
RSL1D1	MASP1
PSME2	CDK5
RBM25	NFE2L2
ARCN1	RBM22
IFITM1	ARPC4
POLR2E	WHSC2
SEC24A	ZNF10
ZNF643	CLDN4
TBX6	REXO4
SGK3	IFI16
SPTBN4	SSBP1
CLEC10A	LENEP
GAS6	VIPR2
TSHR	RAB8A
ETV1	CAPZA1
LDOC1	BAI1
NAT1	NDUFA13
HGFAC	PAEP
MTCH2	CD4
BACH2	PTOV1
TFF1	LIPE
PPP2R3A	CNTN1
RPRM	GTF2F1
HAP1	PKNOX2
BAT2	BXDC2
EPHB2	PDZK1
ACTG1	LSM6
CENPT	PARP1
RNF123	TGFB3
ZP2	RASIP1
PLAUR	CHP
BMP5	MOCS2
SNX26	KLRC3
MID2	GOT1
RBM28	FSTL3
SRRM2	SNTA1
MEP1B	IGFBP1
PCSK7	CNDP2
HNRNPA1	LRRK1
PBX2	HDAC2
HGS	SP1
POLA2	FBXL5
KCNJ8	ERCC6L
SLC16A1	MAP2K5
SF3B3	CXCR3
RANBP9	CYP3A4
EVL	STIL
NUDT21	DLGAP4
IFNA21	CD58
CFD	HSPA4L
MYBPC2	PSMD12
PYCARD	TAGLN3
ZNF235	EED
ACSL4	RAB5C
ERC1	FBXO7
PPP1R7	PPRC1
SOX2	GRIN2A
PDLIM5	PSMC4
SPHK2	PREP
TRADD	SRPX
PCDHA6	MGAM
SCARF1	LAMB4
RAD51L1	PPAP2B
CD3EAP	MAP3K7IP1
FNBP1	TGFB2
EYA2	FCGR3B
CD1C	DSG1
FANCG	ABI2
ZNF471	ABT1
LASS2	GRAP2
BCL2L14	ROR1
AVP	ARL3
ZNF224	MED1
EFS	E4F1
ZNF652	SEMA6D
DRD1	SVEP1
IQGAP2	SH3BP1
CDYL	COL5A2
SMNDC1	RAB33B
PRCP	CDC42
SPINK1	ATP6V1G2
NDUFB1	MTCH2
HPN	KIF1B
NBN	SLC16A3
PVRL1	PTGES3
MYL4	ANKRD28
ZSCAN18	IBTK
TAF5L	MDM2
L3MBTL	PRSS7
TSTA3	EGR2
CCDC59	MYBPC3
RAC1	PEX16
MED20	USP9X
NFE2	DIAPH1
CHMP4A	GSN
TOMM20	GCA
ARSF	TSPAN4
MAST2	FKBP5
GTF2A1	RANBP3
ATP1A3	RASGRF1
PNKP	POLDIP3
S100P	CENPB
MATR3	RND1
MSC	RFC3
PROZ	CHRNB1
SEC23B	SHOC2
DCK	RNF5
TIA1	CLASP2
SLC6A4	ZBTB1
SPTLC1	CAP1
TOPBP1	ZNF780B
MID1IP1	NFKB1
KLF11	DNAH9
HOMER3	OSBP2
KCNAB3	ATG3
PHLDA3	TUBB2C
DOCK2	CD247
NUP214	FIGF
GABARAP	PELP1
DPYSL2	RAD50
SDCCAG8	BCAR3
EXOC5	FCER2
GK	SPIB
DNAJB1	PCK1
SLCO1B3	SUB1
RPL36A	ZNF34
ALPK3	DDX42
CYLC2	TCF7
IKZF5	F12
NRP1	HSPA9
NR2F1	SSX1
ACAD8	HAP1
PLEK	OVGP1
NLRP3	GDF15
GPR3	GFRA2
UBE2E3	KLF9
RAB8B	GRIA1
FBP2	ZAP70
GNAI2	RPS6KA2
CAMK1	PPFIBP2
RFC3	BYSL
PRDX6	SLC6A2
BCAN	IKBKB
ILF2	UBR2
AKAP7	PHC2
ZNF506	CD7
PSMA3	NKX6-1
ASCC3	PAX8
CLDN4	APOH
DEFB1	FXR1
GRM8	KCNK12
OR7C2	RERE
GRK6	PRPF19
VPS26A	PCDHA9
EPHA2	EAF2
TCHH	FGF20
RPGRIP1	HSPB1
ACAT1	MYL9
MEOX1	SOX10
DACH1	PER3
PLK3	CTSK
PHKA2	FCGR2B
ATP5I	CXCL3
POU1F1	ODF1
FBN2	PHOX2B
DAP3	CARD10
PHF3	ALX1
DVL2	APBB3
LCT	DNASE1
DICER1	TARDBP
HIF3A	STXBP3
CAPZA2	CHMP6
IFNA2	PLD1
PLA2G2A	CTNNA2
FOLH1	AKAP1
MAPKAP1	BIRC7
CYFIP1	IKBKAP
NPAS1	NDUFS2
TRPV6	CUGBP2
PIAS3	NID1
SOCS6	MEF2A
TAF7L	HIC1
YWHAE	TUBGCP4
NEUROG3	CBLC
MARK1	ITGAL
BDNF	SLBP
PRPF19	CLDN8
NDUFS8	LLGL1
EIF2B3	DAPP1
HSPB3	HMGN4
RPA2	DBF4
RBM4	FHL2
PAK6	SCN8A
CSF1	GBA
SEMA3E	GSK3A
MXD4	CEBPG
TNFSF10	HSPD1
SMARCB1	CCL19
TADA2L	BCHE
SCIN	LARP1
ULK1	PRTN3
MRPS11	TFIP11
ARID3A	HIPK3
FEM1B	AGER
GNG5	PRMT5
ACOX1	RPS21
TLX2	MAD1L1
KIF5B	PPYR1
NUP153	CCL15
MUC7	WISP2
CSDE1	CEP164
ATP5B	TMED3
EFHD1	ZMYM6
COPZ2	GSR
ELF3	SCNN1B
POLR2I	TXN2
ZNF665	IGKC
TLR6	SULT1E1
GPI	FANCG
RAD9A	PROX1
ADORA2A	PLCH1
KCNH2	HPN
CCHCR1	GP1BA
RPS27A	NUP98
GCM2	MOBKL1B
TUBA3C	TAPBP
HIST1H2BC	SRC
IGFALS	ZFP2
E2F1	PMS2
NPAT	RAMP2
NR0B1	CXXC4
PLCB3	DYRK1A
COIL	SH3GL1
RASGRP2	FBXW2
APOB	RPS24
PIGR	NTRK2
CDC25C	MBTPS2
RAB11FIP2	PTGS2
RCOR3	ABCA4
TSC2	DDIT3
NRP2	PLCG1
CDH2	PTGS1
PTPRB	HAPLN1
GTF3A	CTDSP1
FLNC	XPO7
PRAF2	KCND3
KRAS	PMPCB
ZRSR2	PDIA3
SPTAN1	KCNJ10
CDX2	TEF
NECAP2	TTN
ACTR1A	ARFIP1
PPARG	TLE4
CITED1	ZNF248
PRDM4	PRKACB
HSPA4	TPX2
DHX40	GRIA4
RRP9	SLC7A7
RAB26	GNG5
EVI5	STRN3
CAPN9	RAD17
MYBL2	EBI3
PPIG	TNFRSF8
NAGA	PCSK1N
MAPT	WDR26
MRE11A	RARS
HSPA4L	SLC18A3
PLXNC1	GAS1
MTTP	OR10H1
KCTD5	ITGA6
ECM1	TSFM
CHRNB4	PDE4B
GZMK	PDHA1
RLN1	POLL
HOXA3	APOBEC1
EPB41L1	ACADS
MNDA	CEP135
RPS8	IRF1
MSX2	KRT2
ZNF343	FABP5
PBRM1	MELK
CPB2	CFLAR
CTF1	LDHB
GRLF1	TNPO3
PIM1	ADAMTS2
EGFL7	KRT6A
USP9X	PPP1R3C
IFIT2	RNH1
GUCY1B3	CCT6A
NR3C1	CNTN2
F11	F2
MAP2K6	GLG1
LEFTY1	ZER1
ATP2A1	HRK
PAXIP1	EIF2C3
PNLIP	IGLV2-14
YY1	PCDH17
ZNF80	ZNF345
SLBP	GYG1
AASDHPPT	LMNA
UBL4A	PEBP1
CKS1B	GPD1
MCM3	SOX15
BNIP3	TSG101
HIST3H2A	GPR18
HTR3B	NRP1
FES	NVL
NPTX2	ATF1
CBLB	CACNA1E
RORB	NT5E
AP2M1	LTK
SNAPC4	FGF13
FAF1	SFRS10
CDK6	SERPING1
P2RY1	CD1D
VAPB	GCKR
CSK	TAF6
RAB27B	HBS1L
IGHM	BTN3A3
TUFT1	CASR
SNAP25	FCGRT
CTSS	C9
TLL2	GSPT1
LCK	DCXR
PRPF6	NCF4
FURIN	SNCA
UQCRFS1	CRHR2
RAMP1	MAPK7
ADH7	MICB
EDN3	ENG
BLM	GAB2
GMIP	ITIH3
CHST4	NR0B1
SF3A2	RNF14
SMAD7	SCAMP2
SDC4	CKM
FHL2	CLEC10A
PSMB2	LALBA
WARS	OAS1
PHOX2A	WDR77
S100A14	DICER1
FGFR2	KIFC3
TUBB4Q	MYL5
XRCC3	RIC8A
ITPKA	SLC25A4
GH2	KRIT1
CSF3	EVI1
RDBP	CXCR6
LMO2	AGRN
PDPR	EPHB3
PPP2CB	PHF17
TNNI2	CIDEB
CYC1	MEIS2
RPL22	ZNF643
CD7	RALB
EPRS	PCDH7
CHUK	FGF8
HR	PIK3C2G
RAB6B	PHOX2A
PDPK1	MAP3K12
CPT1B	PARK7
PEX7	LRP12
IL22	UTRN
HOXC5	RPS29
STX11	MIZF
THOC1	DPM2
CYP7B1	PLEC1
TBXAS1	AKR1B1
HSF4	F2RL2
ZNF124	ESPL1
FBXO17	TIMM23
SLPI	SELL
RAD51C	ODZ3
GPR45	PPP1R7
SPEN	PCDHA5
REV1	EIF4G2
PRPS1	LRDD
GNA15	ZNF587
GAMT	FRAS1
ZNF217	PRM1
NOX4	OASL
FRAT2	CPS1
RNASEN	BANF1
MCHR1	RPA2
ACCN2	ZYX
TBX1	CBS
KCNG2	ACADL
HIRIP3	EIF3J
SALL2	CCR1
CYP2E1	RPS28
ACO1	MINA
OPRL1	DCTN2
ATF5	RAB1A
TULP4	G6PC2
MEGF9	SNX5
PAPPA2	MTA2
PLEKHA1	ARFRP1
SLC4A2	CPSF6
NR6A1	HDAC6
SNUPN	ZNF44
PFKFB3	BFAR
PKNOX1	CLDN11
SFRP4	KCNQ2
AGTR1	HSPA4
PCDHGA9	CEP70
MAP3K10	BID
USP2	PPARD
CLCA2	SLC39A6
STRAP	DSP
CBX8	MATR3
RND3	ATP6V1G1
IL1RAP	VLDLR
MAT2B	RUNX2
CSNK1D	LAX1
KIR3DL1	CYP51A1
TJP1	PAPSS2
RALGDS	MOS
PTPRT	RPL23
PER2	GMPPB
CCKBR	NRF1
TAF4	GAMT
NDUFB6	PHF1
ADRB2	TXN
PRSS3	DBH
CD3D	ATF3
TBP	MAP2K7
HPGD	BAG4
CTSD	HHAT
SEMA3B	AZIN1
FKBP1B	SRRM2
IL3	F2R
ARHGAP19	HOXB7
GLI3	ARNTL2
VAV2	MITF
ERCC3	RSF1
PTCH1	CXCL10
TP53BP1	ZNF294
SLC17A7	CEP152
TFRC	MYST1
DDX46	MICALL1
TCEAL4	RAPGEF2
AK2	DGKG
BCOR	CD86
PFDN5	MYBBP1A
AVPR2	TIMP4
KCNK12	XRCC6
GRB14	DNMBP
RP2	BNIP3
SERPINF2	NR1D2
PICK1	DHX8
DYNC1I2	KIAA0841
TYRO3	EXOSC8
FANCF	HAND1
OR12D2	DDX17
CSNK1A1	KLF2
TBL1Y	ANXA6
CCNC	ADAMTS8
SLC10A2	SOSTDC1
CHKA	TGS1
MAP3K1	PCSK1
PBK	SMPD3
ALDOA	CLEC4M
EXOSC5	RPS6KA5
AZU1	XPNPEP1
GAB2	BCL2L1
DIS3	HK1
ATF4	MRPL34
IL12A	PIK3R2
RAPGEF4	DHRS2
CROP	MADD
CST5	IMP4
ZNF696	ATP13A1
SURF2	HLA-DOA
WHSC2	ZNF562
PSMC1	ZNF432
SLC7A8	PDCD1LG2
RFXANK	VAMP4
ADA	COL8A2
MAZ	HMBS
PIN4	COPS5
PDCD10	EPB42
PDE1A	FAM13A1
TAF6L	PPIE
ACADS	BNIP1
DCTN6	TAF10
TFG	GABRG2
SSNA1	GTF3C1
ANXA5	AGL
CCL24	ZNF652
ZMAT3	GRLF1
BATF	COX7A2L
KARS	RNF123
ATF7IP	DNMT3L
VIPR2	GNG12
TEF	EXTL1
LIMK2	H2AFJ
ETF1	KDELR1
HHAT	GAPDH
UBE4A	ERBB3
MYST1	MC3R
MX2	EIF3H
HSP90AA1	POLB
ICK	GFRA3
EIF2C1	LTBP1
SEL1L	PA2G4
NDUFC2	LIPG
DUOX1	PLK4
UBE2G2	CLIC5
GPR31	TPI1
PARP1	FMOD
SIAH1	UXT
LHX1	KRT13
SH2D4A	PDS5A
EIF4B	RPL24
KRT2	IFNA2
RPS15	GIPC1
JAG2	SEC61A1
BLOC1S1	PWP1
STX3	PLA2G7
CD34	HNRNPL
MCTS1	TCEB3B
TGM1	SOX11
ARPC2	NXF1
P2RY13	SSTR3
ENG	BCL10
CCNO	PF4
HLA-F	RPP38
RXRG	TTC3
ZNF140	SFRP1
SULT1E1	NEDD4L
TBC1D4	F3
GLUD1	RFC4
OGT	TRIP6
SYT1	SLTM
PLA2G3	CDKN2A
ACRV1	LTA4H
HIST1H1B	CDIPT
ZNF701	AURKC
PLA2G2F	PDE6C
MEN1	UBE2V2
TYROBP	GMEB2
RARA	MID2
SS18	SUZ12
CARM1	FARP2
NPHP4	KITLG
TAF6	WASL
SFRP5	RREB1
IKZF2	GEM
MYD88	ACTR3B
PML	ELMO2
CBFB	FABP3
TAF1A	F2RL1
UROD	POLR2D
DAB2	KLF3
TUBB2A	KLRC4
RPL36	COL6A1
ASPM	PRELP
LRP6	FBXL8
RBCK1	FER
TLE1	SEC61B
CD244	RAP2C
PLXNA2	DPYS
ACTL6B	MED4
PNRC2	NCOA3
IL2RA	PRKD2
TBCC	DLX5
NSF	CD96
FAP	CSRP2
GPR37	SCARB1
NFASC	STX16
CLCA4	IL22RA1
SCGB1D1	RAPGEF5
OR2J3	PSMB5
LSM6	CIT
SMURF1	DDX50
MLLT1	CDS1
HNRPDL	PPP1R13L
TPM4	DRD4
COPS5	KIFAP3
TNFSF4	XPNPEP2
CSTF2	CD33
ACADSB	LMO4
BCL2L11	HLTF
HERPUD1	NFRKB
HTR1F	GRM7
INHBA	PLA2G2A
CDCA3	NKX3-2
MYO1A	SCAND1
PPEF1	AQP2
PLCB1	LILRB1
BPTF	PDCD6IP
LRRK1	ACTN1
CHRNA1	LYN
RPL21	GABRA4
SENP2	CDC40
XPNPEP1	FGB
ADAMTS1	ZNF85
CDK5RAP1	JARID1C
ZNF571	CCL17
PRKG1	LIMD1
P2RY6	INPP5B
RASGRP1	MMP20
TRIM21	KRT17
CFI	TRAPPC4
ADRA2B	TP63
PCF11	OR2F1
FABP1	FGFR1
CDH16	SCEL
SORBS1	EIF5
PEA15	REM1
FGF7	SIGLEC7
GUCY1A2	SFRS2IP
TBCA	PSMC6
CBL	ADRM1
SNAP23	RECQL4
STXBP6	SRPK2
ZBTB33	FBXO17
GPR4	CNOT6
CLCN5	EEF1G
SGCA	ZNF8
FUSIP1	TERT
FLT3	CDC42BPA
MAG	SLC7A11
ZNF451	HSPB8
RAB3B	FBXW11
UCP1	LAMC2
REEP5	ABI1
FGF9	ITPR1
FADD	FGG
SRPK2	ITGA10
CACNA1A	ALX4
ABI1	NCK1
ALDH3A1	SURF2
GRIN2D	PDGFC
CDX4	KIF4A
ZNF286A	SLC9A3R1
GRIN1	OSTF1
DOK3	HIST1H2BL
ZNF302	CCNG2
OR1A1	RNF8
JARID1D	SH2D2A
SLC18A2	ZNF264
UPK3A	FOXO3
FIP1L1	MYD88
LENEP	VIP
SSH1	WNT5B
ENSA	RGS14
RHOB	PLA2G3
GNAQ	RIPK4
HOOK2	PTPRC
CCNG1	PLK2
AMH	PAAF1
PPP2R1A	FBN2
CACNG3	ABCC3
CCKAR	WDR6
COL2A1	A2M
PTH2R	ZNF132
HK2	MCAM
MDK	ITGB1BP1
RASSF2	BCLAF1
BFAR	POLR3E
ZNF14	TRPC1
PPIL2	ACCN2
PRTN3	TLR3
AVPR1A	TAF2
HSPBP1	IRS4
PRKD1	TAF1B
TNFAIP8	RAB8B
GNB2L1	PDHX
SCGB2A2	FGFR2
ICAM1	RBM4
ZNF674	DUS1L
BCL2L1	SRGN
BRSK2	ACSL3
CD19	PIK3R3
PCDHGB5	APOBEC3G
RAPGEF3	P2RY2
SCARB2	HBEGF
MAPK3	EDN1
USP34	DEC1
STK4	SPTAN1
SLC16A3	NFKBIL1
APLP2	DSC2
DLX5	LRCH4
ITIH2	MAPKAPK5
FBXO41	SPDEF
HDAC2	ACIN1
THBS2	TMPO
CA2	PBK
CRYZ	TSTA3
TGOLN2	GDF3
FGD1	RHOT1
ETS1	EGFR
PCDH8	WAC
KCNK15	IL2
HSP90B1	GTF3C3
GSTA3	MSR1
HOXB6	BHLHB3
TNIP2	SPTLC1
PDHA2	FAIM3
SPC25	PCNP
VAMP3	STIP1
TCIRG1	NPBWR2
TRRAP	ING2
TRAF1	REST
RYR2	IL25
GRN	PLCE1
SCAMP1	GRIA3
PTS	CBX8
ATP6V1G1	PITPNA
BANP	IGF2BP2
PRKACG	EXOSC9
ADCY6	ACY1
PRKY	GALNS
CYP51A1	CEBPE
DDC	ARL8B
NPR2	ATM
ANPEP	ZMYM3
COPG	AHR
OR5I1	VCPIP1
TRIP4	MB
GDF5	PRCP
SNX3	NR1I2
ALPI	HCK
FTSJ1	PDE6G
ZNF273	NCAPG2
DST	FGF1
RAB5C	UCP2
CAB39	PTGDS
MSH2	ORC3L
NPPC	PKM2
PIP4K2C	ONECUT2
ZEB2	CD74
CYLD	EIF4A3
MRP63	TRPC6
WTAP	ZNF592
MTMR2	TIMP1
CHRM2	STX12
TSC22D4	PIGK
PPYR1	SPC25
CCNH	SMARCE1
NR1H4	MED17
RRM1	GABRB1
GABRA4	NDUFA7
SSTR1	STK3
CTDSPL	SCUBE2
RAD17	RRN3
ZCCHC8	PNO1
CD5	CXCL6
ARHGEF1	KLK2
ABCA4	SHC1
ARID4A	KHDRBS1
OPRM1	RPS8
PCCA	BUB1
AQP5	PPP2R2B
CCL21	MAPK13
GNB5	PCCB
PRKAR1B	CNN3
IL16	STXBP1
MSTN	RNF11
VCL	NUP210
TCF3	UBE2L3
HFE	CTSD
SERPINE1	MED14
BAI2	HOXA1
SMC5	KIRREL
AKAP5	CDK5R2
POU2F3	INSR
BACH1	BCKDK
SSSCA1	P2RY11
PPP2R2D	SLC38A6
ACTG2	PPM1D
DTL	SERPINE1
PORCN	ZNF167
CTBP2	PABPN1
ZMYND11	BAG1
MYH8	ZNF331
LRRFIP2	TOP2B
TTN	CYP2C9
RGS6	RUFY1
SRGAP3	PRMT1
PDK1	USP14
ZNF137	COL8A1
CEP27	RPL5
ZNF93	PKD1
OXSR1	PLA2G1B
BCCIP	CRYZ
RAD51	TUBB1
RPL13A	LYZ
DYRK1A	NFU1
HTRA2	ERH
RBBP5	TRIM28
ORC2L	IGBP1
HBS1L	CHST4
CRK	P4HB
PDS5A	RPH3A
NEDD9	CSRP3
PSG6	ELF2
PSMD13	BAI2
DDX23	SLC16A8
ETV5	ZSCAN18
LY6E	TPM3
ATP12A	EYA1
AUP1	NFKBIB
PIP	RPL37A
GSTO1	ENPP1
COX6A2	ELP4
CORO7	GPR68
ENPP1	CCNT1
SCNN1A	TAF11
LSM1	ELL
KCNE2	KIF3C
P2RX4	OR52A1
CCND2	TRIP10
CUL4A	PLEKHA1
PDZK1	TUBA1C
CFB	PSMD7
CDC42BPB	TFB2M
RIMS2	SMARCAL1
CXCL6	YARS
SLC34A2	ZMYM2
SART3	TUBAL3
UPP1	VAMP2
SLC6A9	WRN
CAPN10	CNN1
CCR5	STK4
NDUFS5	SLC25A1
ZNHIT3	MYH10
SNRPD3	TMSB10
SCN8A	FCHSD2
VPS24	SOX18
GMNN	ZFYVE16
FDXR	TNFRSF10B
SPCS2	SH2B1
PAX3	MAGEA1
PRKAB1	CBX1
EYA4	PSMD2
KIF20A	BCAP31
YAP1	APBA1
ST8SIA2	HMGA2
RAD21	PLAU
LMX1B	MNT
SNRPB	GABARAPL2
MIF	TGFA
DLGAP2	TNFRSF9
IRF8	PPP1R1A
PFN1	SERPINB1
ACD	RPL10A
BCL3	GPR37L1
SLC16A8	SF3B1
ITGB3	HK3
CEP152	UNC119
F2RL3	GDF10
CLIP1	CYP4A11
SF3B4	MYH1
ATP5C1	APOL1
UBP1	KIAA0528
ZNF222	ADH1B
COL10A1	AGT
INHBC	NUP155
F12	CYBA
NUMA1	CPSF4
GNG13	IARS2
GSK3A	COL11A2
GIPC1	SLC34A2
ELL2	FAIM2
PVRL3	NR1D1
SMR3B	EPHB2
ZNF770	VDAC3
FZD1	KCNK15
TRPC4AP	TRIO
MKL1	FH
LAMA4	SPTLC2
EIF4G2	DRD3
ZZZ3	EID1
IGFBP4	CRIM1
NDUFA10	CRLF1
CTNNA2	PSMB2
RNF13	DLG3
CLIC2	PTPN18
KCNK5	AIFM1
CD69	SSB
LTA	SEMG2
IFNB1	APBA3
CLNS1A	UBE2D1
EPS15L1	NMB
MGEA5	MYOM2
HIST1H3A	MYH15
ING1	ACSL1
BCAT1	GRM8
ORC6L	HIST1H2BC
KLK11	KRT10
MED22	IL21
ETV6	GHSR
CEBPB	ZNF43
KRT85	TLL2
HMGA1	SLC22A4
CAPN7	KRT35
GEM	PML
NANOS1	PCNA
RANBP2	VPS13B
APITD1	LYL1
LIG3	B4GALT1
IRAK4	CACNA1G
PARD3	AXIN1
MLPH	PROZ
NRG1	SPCS1
CAST	ABCG5
TTK	CPLX2
ZNF557	SSX2IP
DDX41	HP1BP3
TGFBI	CD59
UBE2D2	RELB
PSMB10	TNFRSF12A
GABARAPL2	MCCC2
CISH	ELAVL1
OGDHL	CD93
SPINT2	FTSJ1
CASK	KIAA0776
GIT2	TAS2R14
CLDN18	RPS4X
NCAPG	CALD1
RNF128	T
ATP6V0E1	ZNF426
DUSP9	MATK
SUCLA2	E2F6
NPAS3	RTN4
GGA2	VWF
PRKCA	TLR6
TTC1	DNAJA3
GHSR	HABP4
HIPK1	HIVEP2
ATP8B1	CAMKK2
STX4	PHKG1
TUBB1	SLC25A5
WAPAL	JAK2
SCN5A	RDH5
ZNF192	BAX
GRIA2	KCND1
VDAC2	DCLRE1C
ZPBP	PRPF4B
NUSAP1	HNF1B
FGF23	MAP2K6
PCNT	IFNG
BCKDHB	KCNE1
IFNA8	DDX23
BET1	NEU3
SPRR1B	ACAD8
SNX17	JMJD2A
HDAC6	TIMM9
PLSCR3	DSN1
KRT32	ATP8A2
GHRH	APOBEC2
IL11RA	CHRM5
GDF3	CSTF3
RPS6KB1	BCL2A1
POLR3B	CENPA
TOP1	TLX3
ADIPOQ	HEXIM1
MPST	MATN1
DPM2	DHX57
RIT2	MMP19
RPS17	CNOT7
CD44	IL10RA
KCNMA1	ASCC1
PAX7	DLG5
GNL3	MAP3K10
ITGA5	SEMA6C
BTG2	NDUFC2
NDUFS6	CASC5
MEFV	PI3
NMBR	ARAF
ECHS1	EIF4A1
VPS4A	HMHA1
CYP11A1	ZNF257
PFKP	ICAM1
ABCC6	ARNT
LRRC41	SETMAR
ATP5F1	STRN4
NCF4	LDOC1
SLC25A3	TANK
ZNF646	ZFPM2
RAB1B	MAP3K9
GALNT3	SCUBE3
LDB3	TACR3
GARNL1	HKDC1
NTRK1	SATB1
UBAC1	ARPC5
NAP1L2	ANXA2
CNGB1	WAS
RPL19	CALML3
WISP2	LASS2
NTSR1	DHX35
GPSM2	USP2
PRKCG	NPM1
TRIB3	ZBTB32
DDX5	SMAD7
MLF1IP	TNFSF12
ZNF446	CHP2
COL4A5	PDLIM7
CCNB1	MFAP5
FGR	LIN7B
ZFP161	CECR1
SLC15A2	CSRP1
THRAP3	NFE2L1
MET	MLLT3
ING3	USP16
CCT8L2	SELP
TNS3	AGTR2
SRPK1	DKC1
MED13L	KCNH6
RPL7A	C8B
TEAD1	CABP5
LEP	JUP
PCDH21	NR2F2
CACNG5	SLCO3A1
MAPKAPK2	BMX
ECH1	CDC20
CCL22	C3
PTPN22	MAN2B1
ITGA3	DRD2
RABGGTA	CCNG1
KIAA1033	DAB2
ZNF510	MSX1
STX8	P4HA1
RUNX3	RBBP4
EFNB1	COX7A1
EIF4G3	PJA2
C5AR1	JARID1B
ZNF623	PCSK2
A2M	SFRS2
LMNB2	ZNF444
ROCK2	VGLL1
